source,target,weight
ALOVEC,IXOFIL,1.0
ALOVEC,IDIWOH06,1.0
ALUJIB,BUVHEH,1.0
ALUJIB,CELDAA,1.0
ALUJOH,AMIXOK,1.0
ALUJOH,AVAQAP,1.0
ALUJOH,ZEDVOV,1.0
ALUJUN,PEPLOM,0.8999999761581421
ALUKAU,UCEXEG,1.0
ALUKAU,HELNEU,1.0
ALUKAU,NOFZEO,1.0
ALUKIC,ALULID,1.0
ALUKIC,ALULEZ,1.0
ALUKIC,KIVHON,0.8999999761581421
ALUKIC,ALUKOI,0.8999999761581421
ALUKOI,KIVHON,0.8999999761581421
ALULEZ,KIVHON,0.8999999761581421
AMAFUQ,AMAGAX,1.0
AMAFUQ,HINBUC,0.8999999761581421
AMBZAG10,RUPZIM,0.8999999761581421
AMBZAG10,WIWDEN,0.8999999761581421
AMIKOX,NABCIE,0.8999999761581421
AMIWOJ,GEVXIQ,1.0
AMIWOJ,FEQXAB,1.0
AMIWOJ,CUKXIR,0.8999999761581421
AMIWUP,XOJZEC,0.8999999761581421
AMIWUP,AMIXAW,0.8999999761581421
AMIXAW,TEBFUD,1.0
AMIXIE,QIVKEL01,1.0
AMIXIE,NELREC,1.0
AMIXIE,NERMON,1.0
AMIXIE,QIVKEL,1.0
AMIZAZ,JEXXAM,1.0
AMIZAZ,DADVAG06,1.0
AMIZAZ01,JEXXAM,1.0
AMIZAZ01,DADVAG06,1.0
AMIZAZ02,JEXXAM,1.0
AMIZAZ02,DADVAG06,1.0
AMOFAK,CUXQAO,1.0
AMOFAK,CUXPER,1.0
AMOFAK,KIYZID03,0.8999999761581421
AMOFAK,CUXQES,0.8999999761581421
AMUCOB,WINJUY,0.8999999761581421
AMURUX,MOPQIT,1.0
AMURUX,SIRBIG03,1.0
AMURUX,SIWZOP03,1.0
AMURUX,ILECIN,1.0
AMURUX,KAVRIK,1.0
AMURUX02,SIRBIG03,1.0
AMURUX02,SIWZOP03,1.0
AMURUX02,ILECIN,1.0
AMURUX02,KAVRIK,1.0
AMURUX06,SIRBIG03,1.0
AMURUX06,SIWZOP03,1.0
AMURUX07,SIRBIG03,1.0
AMURUX07,SIWZOP03,1.0
AMURUX08,SIRBIG03,1.0
AMURUX08,SIWZOP03,1.0
AMURUX09,SIRBIG03,1.0
AMURUX09,SIWZOP03,1.0
AMURUX10,SIRBIG03,1.0
AMURUX10,SIWZOP03,1.0
AMURUX11,SIRBIG03,1.0
AMURUX11,SIWZOP03,1.0
ANAWIX,YUDMIU,0.8999999761581421
ANAWIX,PAMGIV,0.8999999761581421
ANAYUL,VIMNEN,1.0
ANAYUL,NAHQIY,1.0
ANAYUL,BANLUA,1.0
ANAZAS,UQUMID,0.8999999761581421
ANAZAS,DEFXEU,0.8999999761581421
ANAZAS,NAHQAQ,0.8999999761581421
ANAZAS,NAHQEU,0.8999999761581421
ANEQAM,FOQNOQ,0.8999999761581421
ANEQAM,FOQNUW,0.8999999761581421
ANUGIA,ANUGOG,1.0
ANUGIA,DEKBON,0.9571428894996643
ANUGIA,IPUPOA,0.9571428894996643
ANUGIA,IPUPIU,0.9571428894996643
ANUGOG,DEKBON,0.9571428894996643
ANUGOG,IPUPOA,0.9571428894996643
APACAX,AVETAY,1.0
